word,Art & Design,Books & Reference,Business,Comics,Communication,Education,Entertainment,Finance,Food & Drink,Game Action,Game Adventure,Game Arcade,Game Board,Game Casual,Game Music,Game Puzzle,Game Racing,Game Role Playing,Game Simulation,Game Sports,Game Strategy,Game Trivia,Game Word,Health & Fitness,Lifestyle,Maps & Navigation,Music & Audio,News & Magazines,Personalization,Photography,Productivity,Shopping,Social,Sports,Tools,Travel & Local,Video Players,Weather,Other
app,0.00000,1.61086,1.39510,0.00000,8.29054,0.00000,4.38153,1.54545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.58782,1.53178,1.90862,9.45231,1.16470,3.53607,10.82300,7.09753,4.19897,5.36171,0.00000,14.53676,3.85922,6.26086,1.40681,8.05038
game,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.45559,0.00000,0.00000,19.96914,2.64635,15.73838,1.88452,14.63026,0.00000,10.39950,10.36913,0.00000,3.61838,6.95366,5.41056,0.00000,1.14214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.48113,0.00000,0.00000,0.00000,0.00000,0.00000,3.30126
like,0.00000,1.27749,0.00000,0.00000,6.06741,0.00000,4.82089,0.00000,0.00000,8.74884,1.42975,6.73325,0.00000,6.59905,0.00000,4.58862,4.48023,0.00000,1.66202,3.01951,2.22205,0.00000,0.00000,1.52524,1.04522,0.00000,6.07257,0.00000,2.24528,6.15258,4.29700,1.92268,4.07763,0.00000,8.08558,1.57427,4.32538,0.00000,7.02746
good,0.00000,0.00000,0.00000,0.00000,5.22764,0.00000,4.05877,0.00000,0.00000,9.92896,1.04617,6.58056,1.06878,4.31062,0.00000,3.50016,5.27607,0.00000,1.35615,3.40006,1.96319,0.00000,0.00000,2.04068,0.00000,0.00000,6.16403,0.00000,2.09881,7.19406,4.10074,4.04262,3.63578,0.00000,8.68905,2.20859,4.11366,0.00000,7.99483
time,0.00000,0.00000,0.00000,0.00000,6.15348,0.00000,3.12993,1.45171,0.00000,7.52625,1.03988,6.88791,1.37621,6.80898,0.00000,5.07585,3.32555,0.00000,2.18272,3.00295,2.87940,0.00000,0.00000,1.98366,1.11195,2.04887,4.74638,0.00000,1.92189,3.81632,4.83561,3.43881,4.09774,0.00000,8.44602,2.76615,3.43881,1.04331,5.46366
use,1.06545,0.00000,1.25640,0.00000,8.28305,0.00000,2.93668,2.09272,0.00000,1.89414,0.00000,1.44352,0.00000,1.64210,0.00000,1.27549,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.37150,1.63828,2.40205,6.59131,0.00000,3.68518,11.71618,9.88696,3.85702,3.75391,0.00000,15.51974,3.87230,5.58695,0.00000,7.22905
play,0.00000,0.00000,0.00000,0.00000,1.36885,0.00000,3.70492,0.00000,0.00000,14.82377,2.93852,12.09836,2.05328,11.34016,0.00000,8.73770,6.22541,0.00000,2.44262,5.89754,3.50000,0.00000,0.00000,0.00000,0.00000,0.00000,9.38934,0.00000,0.00000,0.00000,0.00000,0.00000,1.92213,0.00000,3.74180,0.00000,2.72131,0.00000,7.09426
one,0.00000,1.32565,0.00000,0.00000,7.25509,0.00000,3.54072,0.00000,0.00000,7.49227,1.31295,5.16708,1.45695,5.39579,0.00000,3.96849,3.56613,0.00000,1.35530,2.52001,2.31248,0.00000,0.00000,1.59671,1.05459,1.08001,5.61179,0.00000,3.05790,5.92520,6.36991,2.34213,4.73932,0.00000,9.79205,1.91860,3.76943,0.00000,6.07344
really,0.00000,1.44403,0.00000,0.00000,5.06115,0.00000,4.68015,0.00000,0.00000,8.39605,1.69802,7.36124,0.00000,6.40640,0.00000,5.05174,3.58890,0.00000,1.95202,2.23895,1.98024,0.00000,0.00000,2.60113,1.10066,0.00000,5.46096,0.00000,2.34713,6.78739,4.14393,2.27187,3.92286,0.00000,7.77987,1.61806,4.59548,0.00000,7.51176
please,0.00000,1.16313,0.00000,0.00000,10.08844,0.00000,3.52783,1.19677,0.00000,10.30472,0.00000,4.39296,0.00000,4.98895,0.00000,2.20129,3.61434,0.00000,1.40344,2.63866,1.96578,0.00000,0.00000,0.00000,0.00000,0.00000,5.83966,1.17274,2.46563,5.34461,4.55157,2.38873,5.88292,0.00000,10.26146,1.77353,5.44074,0.00000,7.39210
