developer,Installs,Avg_Rating,inv_Global_rank,containsAds,Comment_reply,Counts
Google LLC,0.3897637795275591,0.44329896907216515,0.044446684136262855,0.2222222222222222,0.0,45.0
"Samsung Electronics Co.,  Ltd.",0.19291338582677167,0.463917525773196,0.033102981029810304,0.09523809523809523,0.006085192697768763,21.0
King,0.03543307086614173,0.6597938144329891,0.027781786693606585,0.6666666666666666,0.0,9.0
Outfit7 Limited,0.03543307086614173,0.463917525773196,0.015477769840459912,1.0,0.0,9.0
Microsoft Corporation,0.3897637795275591,0.5154639175257731,0.07342166014252735,0.14285714285714285,0.0,7.0
Rovio Entertainment Corporation,0.03543307086614173,0.5567010309278349,0.01498879186322728,1.0,0.0,6.0
ELECTRONIC ARTS,0.03543307086614173,0.46907216494845283,0.011495522563921293,0.5,0.0,6.0
Best Free Video Editor & Video Maker Dev,0.03543307086614173,0.5567010309278349,0.016774949408882738,1.0,0.06896551724137931,5.0
Gameloft SE,0.015748031496062992,0.5257731958762886,0.00897364365800521,1.0,0.0,5.0
Supercell,0.03543307086614173,0.536082474226804,0.09499687304565355,0.2,0.0,5.0
ZeptoLab,0.025590551181102362,0.6855670103092786,0.016308243727598568,1.0,0.0,4.0
Xiaomi Inc.,0.03543307086614173,0.8247422680412368,0.03439971043546052,0.25,0.04969574036511156,4.0
Facebook,0.3897637795275591,0.2989690721649483,0.3695341683146562,0.5,0.0,4.0
Miniclip.com,0.03543307086614173,0.5463917525773203,0.011636086306218256,1.0,0.004056795131845842,4.0
"Mobile, ASUSTek Computer Inc.",0.015748031496062992,0.5876288659793811,0.0010403007255879015,0.0,0.0,3.0
Yandex Apps,0.03543307086614173,0.536082474226804,0.010086034079518878,0.6666666666666666,0.6348884381338742,3.0
Playrix,0.03543307086614173,0.4226804123711343,0.02932814604219662,1.0,0.002028397565922921,3.0
Instagram,0.03543307086614173,0.5257731958762886,0.013613900844890805,0.3333333333333333,0.0,3.0
Amazon Mobile LLC,0.03543307086614173,0.48453608247422686,0.008822985957132302,0.6666666666666666,0.0,3.0
"Jam City, Inc.",0.015748031496062992,0.6185567010309274,0.005884520601579957,1.0,0.0973630831643002,3.0
InShot Inc.,0.015748031496062992,0.876288659793814,0.02478111319574735,1.0,0.12373225152129817,3.0
Cyberlink Corp,0.015748031496062992,0.5927835051546397,0.0026560521253250584,1.0,0.14705882352941177,2.0
