word,size
app,102430
game,82302
like,38748
good,30970
time,29138
use,26186
play,24400
one,23611
really,21260
please,20806
even,20440
phone,20311
love,19643
great,18870
update,18617
ads,16630
much,16093
many,15926
new,15080
want,13744
still,13668
fun,13241
easy,13194
problem,12763
need,12718
fix,12512
work,11741
best,11677
way,11502
back,11455
using,11267
playing,10658
give,10546
better,10071
add,10053
google,10040
go,10024
video,9763
money,9722
apps,9645
download,9474
always,9336
see,9292
lot,9195
used,9175
free,9045
option,8785
thing,8569
people,8513
keep,8346
